"Time stamp","System power generated | (kW)","Wind speed | (m/s)","Internal wake loss percent | (%)","Air temperature | ('C)"
"Jan 8, 05:00 pm",11142.9,4.33,4.18638,-9.6
"Jan 8, 06:00 pm",11407.7,4.37,4.38404,-10.02
"Jan 8, 07:00 pm",29608.3,5.68,7.44413,-10.66
"Jan 8, 08:00 pm",22739.8,5.23,2.59792,-11.1
"Jan 8, 09:00 pm",20935.3,5.12,1.79616,-11.4
"Jan 8, 10:00 pm",15501.4,4.71,2.55758,-11.58
"Jan 8, 11:00 pm",14025,4.58,2.63376,-11.67
"Jan 9, 12:00 am",10178,4.07,0.47208,-11.54
"Jan 9, 01:00 am",0,3.62,0,-11.2
"Jan 9, 02:00 am",11451.9,4.35,3.21819,-10.84
"Jan 9, 03:00 am",14629.4,4.66,4.13933,-10.52
"Jan 9, 04:00 am",25443.2,5.38,2.11308,-10.03
"Jan 9, 05:00 am",41220.8,6.04,2.44527,-9.4
"Jan 9, 06:00 am",60209.3,6.64,2.26665,-9
"Jan 9, 07:00 am",55401.8,6.51,2.61004,-8.56
"Jan 9, 08:00 am",64465.6,6.78,2.58619,-8.1
"Jan 9, 09:00 am",58801.6,6.64,3.6386,-7.41
"Jan 9, 10:00 am",33041.6,5.8,4.09308,-6
"Jan 9, 11:00 am",21996.3,5.24,2.98794,-5.13
"Jan 9, 12:00 pm",34975.2,5.87,2.9813,-3.98
"Jan 9, 01:00 pm",40778.7,6.08,2.43308,-3.19
"Jan 9, 02:00 pm",28411.6,5.62,1.68295,-2.5
"Jan 9, 03:00 pm",45255.2,6.25,2.41101,-1.94
"Jan 9, 04:00 pm",81531.7,7.3,2.27002,-1.67
"Jan 9, 05:00 pm",138799,8.71,2.45791,-1.6
"Jan 9, 06:00 pm",179750,9.7,4.25907,-1.85
"Jan 9, 07:00 pm",134551,8.65,3.74972,-1.76
"Jan 9, 08:00 pm",185461,9.82,3.55963,-1.41
"Jan 9, 09:00 pm",147969,8.98,3.68663,-1.5
"Jan 9, 10:00 pm",132919,8.63,4.07335,-1.59
"Jan 9, 11:00 pm",132341,8.58,2.73629,-1.53
"Jan 10, 12:00 am",124321,8.38,2.13499,-1.44
"Jan 10, 01:00 am",107858,7.99,2.6061,-1.4
"Jan 10, 02:00 am",107327,7.97,2.30937,-1.33
"Jan 10, 03:00 am",103980,7.89,2.42975,-1.19
"Jan 10, 04:00 am",104226,7.91,2.70947,-0.99
"Jan 10, 05:00 am",113592,8.2,4.73151,-0.3
"Jan 10, 06:00 am",147012,9.02,4.66865,-0.13
"Jan 10, 07:00 am",144625,8.96,4.41236,-0.02
"Jan 10, 08:00 am",154646,9.18,4.0834,0.17
"Jan 10, 09:00 am",217096,10.58,2.98351,0.46
"Jan 10, 10:00 am",250110,11.33,1.60424,0.98
"Jan 10, 11:00 am",287047,12.33,0.647646,1.23
"Jan 10, 12:00 pm",309786,13.25,0.460125,1.76
"Jan 10, 01:00 pm",212524,10.5,2.51398,2.38
"Jan 10, 02:00 pm",264662,11.75,1.60804,2.93
"Jan 10, 03:00 pm",331174,15.63,0.149207,3.82
"Jan 10, 04:00 pm",322113,14.19,0.344282,4.43
"Jan 10, 05:00 pm",325529,14.79,0.484638,4.91
"Jan 10, 06:00 pm",333779,16.58,0,4.8
"Jan 10, 07:00 pm",333779,18.16,0,4.68
"Jan 10, 08:00 pm",332531,16.09,0.37374,4.98
"Jan 10, 09:00 pm",330338,15.51,0.232598,5.1
"Jan 10, 10:00 pm",332726,16.03,0.227585,5.26
"Jan 10, 11:00 pm",324323,14.47,0.127784,5.55
"Jan 11, 12:00 am",320273,14.07,0.556847,5.43
"Jan 11, 01:00 am",280879,12.26,0.964144,5.17
"Jan 11, 02:00 am",299504,12.87,0.590407,5.56
"Jan 11, 03:00 am",292650,12.69,1.17885,5.02
"Jan 11, 04:00 am",264164,11.78,1.2584,4.75
"Jan 11, 05:00 am",269921,11.9,0.814255,3.85
"Jan 11, 06:00 am",206578,10.35,1.71498,2.29
"Jan 11, 07:00 am",245359,11.31,2.21854,1.14
"Jan 11, 08:00 am",222360,10.71,2.25677,-0.08
"Jan 11, 09:00 am",230181,10.9,1.7462,-0.22
"Jan 11, 10:00 am",234289,11,1.50482,-0.25
"Jan 11, 11:00 am",222768,10.71,2.13676,-0.07
"Jan 11, 12:00 pm",202288,10.23,2.26201,-0.01
"Jan 11, 01:00 pm",187868,9.92,2.58759,0.08
"Jan 11, 02:00 pm",241795,11.22,2.56828,0.54
"Jan 11, 03:00 pm",277061,12.13,1.77755,0.64
"Jan 11, 04:00 pm",257204,11.59,2.23559,0.68
"Jan 11, 05:00 pm",225651,10.8,2.3687,0.66
"Jan 11, 06:00 pm",233786,11,1.92204,0.54
"Jan 11, 07:00 pm",242732,11.18,1.73599,0.45
"Jan 11, 08:00 pm",240851,11.11,1.31387,0.09
"Jan 11, 09:00 pm",179012,9.65,1.77768,-0.33
"Jan 11, 10:00 pm",178335,9.63,1.74431,-0.7
"Jan 11, 11:00 pm",143206,8.84,1.59576,-0.88
"Jan 12, 12:00 am",152509,9.06,1.70811,-0.83
"Jan 12, 01:00 am",155595,9.13,1.83276,-0.71
"Jan 12, 02:00 am",124985,8.45,2.5865,-0.54
"Jan 12, 03:00 am",69300.3,7.05,4.15795,-0.38
"Jan 12, 04:00 am",43574.6,6.23,2.33723,-0.22
"Jan 12, 05:00 am",42848.2,6.22,3.3161,-0.09
"Jan 12, 06:00 am",85066.2,7.44,2.28014,-0.01
"Jan 12, 07:00 am",142036,8.81,1.62513,0.08
"Jan 12, 08:00 am",182871,9.72,1.72695,0.23
"Jan 12, 09:00 am",274680,11.95,0.905846,0.69
"Jan 12, 10:00 am",274042,12,1.60767,1.12
"Jan 12, 11:00 am",315117,13.68,1.00849,1.73
"Jan 12, 12:00 pm",330694,15.47,0.173582,2.34
"Jan 12, 01:00 pm",333779,16.57,0,3.03
"Jan 12, 02:00 pm",333779,17.14,0,3.47
"Jan 12, 03:00 pm",333779,17.68,0,3.84
"Jan 12, 04:00 pm",333779,18.08,0,3.83
"Jan 12, 05:00 pm",333779,17.99,0,4.12
"Jan 12, 06:00 pm",333779,18.6,0,4.18
"Jan 12, 07:00 pm",333779,17.73,0,4.27
"Jan 12, 08:00 pm",333779,17.43,0,4.14
"Jan 12, 09:00 pm",333779,16.25,0,4.09
"Jan 12, 10:00 pm",333779,17.68,0,4.52
"Jan 12, 11:00 pm",333779,18.07,0,4.66
"Jan 13, 12:00 am",333779,18.7,0,4.7
"Jan 13, 01:00 am",333779,18.11,0,4.69
"Jan 13, 02:00 am",333779,17.4,0,4.74
"Jan 13, 03:00 am",330730,15.44,0.0576254,4.63
"Jan 13, 04:00 am",320848,14.01,0.255191,4.6
"Jan 13, 05:00 am",309924,13.33,0.414826,4.64
"Jan 13, 06:00 am",310300,13.35,0.421731,4.52
"Jan 13, 07:00 am",268438,11.86,1.00935,4.34
"Jan 13, 08:00 am",258894,11.64,1.57941,4.25
"Jan 13, 09:00 am",203238,10.26,1.65051,3.39
"Jan 13, 10:00 am",136567,8.75,2.11161,2.69
"Jan 13, 11:00 am",107168,8.08,3.58437,2.3
"Jan 13, 12:00 pm",88579.1,7.6,3.60104,3.62
"Jan 13, 01:00 pm",129632,8.62,2.54191,4.04
"Jan 13, 02:00 pm",165690,9.49,2.85881,4.44
"Jan 13, 03:00 pm",168625,9.54,2.63412,4.05
"Jan 13, 04:00 pm",200564,10.21,2.03897,3.51
"Jan 13, 05:00 pm",225929,10.76,1.41517,2.61
"Jan 13, 06:00 pm",173073,9.57,1.91206,1.87
"Jan 13, 07:00 pm",160778,9.27,1.53765,1.4
"Jan 13, 08:00 pm",133023,8.63,1.78814,1.02
"Jan 13, 09:00 pm",123096,8.39,1.63042,0.71
"Jan 13, 10:00 pm",69228.9,7.04,2.80974,0.48
"Jan 13, 11:00 pm",71676.3,7.11,3.27211,0.31
"Jan 14, 12:00 am",30919,5.83,5.91817,0.3
"Jan 14, 01:00 am",13965.8,4.67,1.95113,0.28
"Jan 14, 02:00 am",24458.5,5.45,3.2508,0.36
"Jan 14, 03:00 am",50169,6.47,2.24129,0.51
"Jan 14, 04:00 am",92329,7.68,5.34686,0.61
"Jan 14, 05:00 am",158659,9.29,3.40428,0.78
"Jan 14, 06:00 am",212097,10.53,3.34098,1.05
"Jan 14, 07:00 am",271954,12.04,2.55467,1.24
"Jan 14, 08:00 am",305591,13.16,1.05529,1.81
"Jan 14, 09:00 am",326747,14.77,0.151566,2.42
"Jan 14, 10:00 am",330456,15.39,0.118921,3.36
"Jan 14, 11:00 am",302660,12.95,0.510485,3.09
"Jan 14, 12:00 pm",267126,11.87,1.93676,3.36
"Jan 14, 01:00 pm",313665,13.59,0.908274,3.16
"Jan 14, 02:00 pm",326845,14.79,0.200854,1.9
"Jan 14, 03:00 pm",333779,16.34,0,0.36
"Jan 14, 04:00 pm",333779,16.56,0,-1.04
"Jan 14, 05:00 pm",331538,15.55,0.0842369,-2.08
"Jan 14, 06:00 pm",333779,16.07,0,-2.8
"Jan 14, 07:00 pm",303149,12.85,0.551877,-3.44
"Jan 14, 08:00 pm",313054,13.32,0.493069,-4.12
"Jan 14, 09:00 pm",308747,13.09,0.457421,-4.72
"Jan 14, 10:00 pm",290401,12.36,0.62246,-5.02
"Jan 14, 11:00 pm",281257,12.05,0.829624,-5.23
"Jan 15, 12:00 am",290698,12.36,0.667763,-5.55
"Jan 15, 01:00 am",226524,10.63,1.22518,-5.71
"Jan 15, 02:00 am",239774,10.98,1.43767,-6.23
"Jan 15, 03:00 am",227319,10.64,1.29563,-6.84
"Jan 15, 04:00 am",169665,9.38,1.93549,-6.75
"Jan 15, 05:00 am",175720,9.5,2.27353,-6.99
"Jan 15, 06:00 am",132285,8.52,2.34866,-7.07
"Jan 15, 07:00 am",125735,8.36,1.88791,-7.15
"Jan 15, 08:00 am",108351,7.95,2.50904,-7.23
"Jan 15, 09:00 am",82497.1,7.3,2.55924,-7.09
"Jan 15, 10:00 am",52791,6.49,3.74623,-6.96
"Jan 15, 11:00 am",25317.3,5.42,2.29854,-6.67
"Jan 15, 12:00 pm",46538.3,6.27,2.26439,-6.39
